Author Name,University
Salvatore  Cuomo,University of Naples Federico II
Eduardo Ado Valle,Valeo
Kishor K Bhoyar,Yeshwantrao Chavan College of Engineering
Chinmay  Chakraborty,"Birla Institute of Technology, Mesra"
Gian Antonio Susto,University of Padua
Lucas Kupssinskü,Pontifical Catholic University of Rio Grande do Sul
Leon Moonen,Norwegian School of Management BI
Eibe  Frank,The University of Waikato
Shing-Chi Cheung,Hong Kong University of Science and Technology
Willem Visser,"Amazon.com, Inc."
Sepideh Ghanavati,University of Maine
Lingming Zhang,University of Illinois Urbana-Champaign
Leandro Lei Minku,University of Birmingham
Antonio Filieri,Imperial College London
Steven Chu Hong Hoi,Singapore Management University
Miltiadis Allamanis,Google LLC
Michele Tufano,Microsoft Corporation
Ming  Wen,Huazhong University of Science and Technology
Talia  Ringer,University of Illinois Urbana-Champaign
Jiawei  Liu,University of Illinois Urbana-Champaign
Alexander Zipf,Heidelberg University
Oge Marques,Florida Atlantic University
Miroslav V Popović,University of Novi Sad
Christian Igel,University of Copenhagen
Bestoun S. Ahmed,Karlstad University
Garrett B Powell,Abilene Christian University
Indriyati Atmosukarto,Singapore Institute of Technology
Chi-Han Peng,National Yang Ming Chiao Tung University
Xiaopeng Zhang,Chinese Academy of Sciences
Ming-Ming Cheng,Nankai University
Paul Patras,The University of Edinburgh
Pratik Kalshetti,Indian Institute of Technology Bombay
Ran  Dong,Chukyo University
Tian  Guo,Worcester Polytechnic Institute
Yiqin  Zhao,Worcester Polytechnic Institute
Gerando  Bonganay,IBM Philippines
Francesc Serratosa,Rovira i Virgili University
Eric P S Baumer,Lehigh University
Saad  Arif,HITEC University
Zhiyong  Zhou,University of Zurich
Charles Nicholas,"University of Maryland, Baltimore County (UMBC)"
Rem Collier,University College Dublin
Thorsten Holz,CISPA - Helmholtz Center for Information Security
Suzan Verberne,Leiden University
Guido Zuccon,The University of Queensland
Jun Xu,Renmin University of China
Sandra  Scott-Hayward,Queen's University Belfast
Harrisen  Scells,University of Leipzig
Negar Arabzadeh,University of Waterloo
Xiao  Zhang,Renmin University of China
Florian A Hölzl,Technical University of Munich
Tobias  Lorenz,CISPA - Helmholtz Center for Information Security
Alessandro Vinciarelli,University of Glasgow
Pedro Ribeiro,University of Porto
Gautam Shroff,Tata Consultancy Services India
Yudong Zhang,University of Leicester
Ahmad Naser eddin,University of Porto
Ajim  Uddin,New Jersey Institute of Technology
Tony Q.  S. Quek,Singapore University of Technology and Design
Ming-Hsuan Yang,UC Merced
Hong-Ning Dai,Hong Kong Baptist University
Eduardo N. Borges,Federal University of Rio Grande
Vicente Moret-Bonillo,University of A Coruña
Atul  Prakash,"University of Michigan, Ann Arbor"
Sanjam Garg,"University of California, Berkeley"
D. Alonso-Ríos,University of A Coruña
Tianyue  Zheng,School of Computer Science and Engineering
Shae  McFadden,King's College London
Elsa Estevez,South National University
Guanfeng Wang,GrabTaxi Holdings
Arbi Chouikh,Laval University
Piotr  Gramacki,Wrocław University of Science and Technology
Kacper Leśniara,Wrocław University of Science and Technology
José Antonio Gámez,University of Castilla-La Mancha
L. Amgoud,Computer Science Research Institute of Toulouse
Paolo Viappiani,Paris Dauphine University
A. Malizia,University of Pisa
Chengfeng  Zheng,University of Science Malaysia
Carla Teixeira Lopes,University of Porto
Florian  Spiess,University of Basel
Kenzo  Milleville,Ghent University
Julien Antoine Raemy,University of Basel
Julien Pettré,"National Research Institute for Agriculture, Food and Environment"
Mario  Botsch,Technical University Dortmund
P. Ciancarini,University of Bologna
Mario Bergés,Carnegie Mellon University
Ruben Mayer,University of Bayreuth
Clayton Miller,National University of Singapore
Matias  Quintana,National University of Singapore
Zoltan  Nagy,The University of Texas at Austin
Hardik  Prabhu,FLAME University
Eren Gökberk Halaçlı,Middle East Technical University (METU)
Takahiro Hirofuchi,National Institute of Advanced Industrial Science and Technology
Yixiong  Liang,Central South University
Lizhong Chen,Oregon State University
R. R. Vatsavai,NC State University
Taehoon Kim,National Institute of Advanced Industrial Science and Technology
Mohamed Ben ahmed,Abdelmalek Essaâdi University
Bin Yang,East China Normal University
Imad Zeroual,University Moulay Ismaïl
Anoual El Kah,Mohammed I University
Aivin V. Solatorio,"The World Bank, USA"
Shanmugapriya  T,University of Toronto
Eric Eide,The University of Utah
Ali Jannesari,Iowa State University
Daniel Wong,"University of California, Riverside"
Murali Emani,Argonne National Laboratory
Kiran  Ranganath,"University of California, Riverside"
Karthik Pattabiraman,The University of British Columbia
Aparna Chandramowlishwaran,"University of California, Irvine"
Dezun Dong,National University of Defense Technology China
Flavio Vella,University of Trento
Jianbin Fang,National University of Defense Technology China
Prashant J. Nair,The University of British Columbia
Sebastián  García,Czech Technical University in Prague
G. A. Constantinides,Imperial College London
Franz Rothlauf,Johannes Gutenberg University Mainz
Donghwan Shin,University of Luxembourg
Matthew K Hong,Toyota Research Institute
Sotiris B Kotsiantis,University of Patras
Raju Halder,Indian Institute of Technology Patna
Oğuz 'Oz' Buruk,Tampere University
Yu  Xin,North China University of Technology
Kaj Grønbæk,Aarhus University
Yu (Jason) Gu,Northeastern University
Trevor Nigel Mudge,"University of Michigan, Ann Arbor"
Derek Greene,University College Dublin
Lior Rokach,Ben-Gurion University of the Negev
Yu Hu,Institute of Computing Technology Chinese Academy of Sciences
Tiare Feuchtner,University of Konstanz
Jehad Ali,Ajou University
Haojie Ye,"University of Michigan, Ann Arbor"
Chengyu  Song,National University of Defense Technology China
Ali Ismail Awad,United Arab Emirates University
Krishna Teja Chitty-Venkata,Iowa State University
Mukul  Singh,Microsoft Corporation
Andreas Aristidou,University of Cyprus
Andrei  Bursuc,Valeo
Jose Luis Ponton,Polytechnic University of Catalonia
Jon Michael Kleinberg,Cornell University
Lirong Xia,Rensselaer Polytechnic Institute
Rohit Prabhavalkar,Google LLC
Edward R. Sykes,Sheridan College Institute of Technology and Advanced Learning
Suranga Seneviratne,The University of Sydney
Aishwaryaprajna,Faculty of Business and Information Technology
Thomas  Hartvigsen,Massachusetts Institute of Technology
Yanchen  Wang,Georgetown University
Ayman  Tauhid,Sheridan College Institute of Technology and Advanced Learning
Wei Tsang Ooi,National University of Singapore
Rod Murray-Smith,University of Glasgow
Naomi  Yamashita,NTT Communication Science Laboratories
Saleema Amershi,Microsoft Research
Jesse Hoey,University of Waterloo
Michael Bernstein,Stanford University
Ge Gao,"University of Maryland, College Park"
Zhihan  Lv,Uppsala University
Xingbo  Wang,Hong Kong University of Science and Technology
Jack  Jamieson,Nippon Telegraph and Telephone Corporation
Sacha  Lewin,University of Liège
Aljoša  Smolić,Lucerne University of Applied Sciences and Arts
M. Betke,Boston University
Grace Ngai,The Hong Kong Polytechnic University
Rainer Lienhart,University of Augsburg
Gerald Friedland,"University of California, Berkeley"
Bin Li,Fudan University
Mingsong  Chen,East China Normal University
Wei Yang,University of Science and Technology of China
Kai Huang,Sun Yat-Sen University
Jitao Sang,Beijing Jiaotong University
Bin Wang,Tsinghua University
Xirong Li,Renmin University of China
Zijia Lin,Tsinghua University
Kenny J Mitchell,Edinburgh Napier University
Lei Xie,Nanjing University
Yalong Bai,"JD.com, Inc."
Zhenhua Li,Tsinghua University
Matthieu Perreira Da Silva,Nantes Central School
Stephen Jolly,British Broadcasting Corporation
Zhi-Qi Cheng,Carnegie Mellon University
Baigui Sun,Alibaba Group Holding Limited
Mingrui Zhu,Xidian University
Bei  Liu,Microsoft Research Asia
Wei  Liu,Tsinghua University
Yechao  Zhang,Huazhong University of Science and Technology
Alberto Baldrati,University of Florence
Meng  Shen,Nanyang Technological University
Gulshan  Sharma,Indian Institute of Technology Ropar
Xulong Zhang,Ping An Technology
Lorenzo  Agnolucci,University of Florence
Yi  Zhang,Beijing Jiaotong University
Chongyu  Zhang,Shandong University
Xianghao  Kong,Beihang University
N. Cao,IBM Thomas J. Watson Research Center
Yuzhong Qu,Nanjing University
Rudinei Goularte,University of São Paulo
Preslav Nakov,Mohamed Bin Zayed University of Artificial Intelligence
Ricardo Matsumura Araújo,Federal University of Pelotas
Ricardo Marcondes Marcacini,University of São Paulo
Renjie  Liu,Southern University of Science and Technology
Allan Kássio Beckman Soares da Cruz,Federal University of Maranhão
C. Quix,Niederrhein University of Applied Sciences
F. Bonchi,"Eurecat, Technology Centre of Catalonia"
Davood Rafiei,University of Alberta
Florence Sèdes,University of Toulouse
F. Can,Bilkent University
Carlos Castillo,Pompeu Fabra University Barcelona
Barbara Poblete,University of Chile
T. Bouwmans,La Rochelle University
Bin Xu,Tsinghua University
Claudio Lucchese,Ca' Foscari University of Venice
Andreas Kaltenbrunner,Institute for Scientific Interchange Foundation
Martin Grohe,RWTH Aachen University
Christophe Bortolaso,Berger-Levrault
Franco Maria Nardini,"Institute of Information Science and Technologies ""Alessandro Faedo"""
Amirali Salehi-Abari,Ontario Tech University
Chih-Jen Lin,National Taiwan University
Ilchull  Moon,Korea Advanced Institute of Science and Technology
Petr Knoth,Universidade Aberta
Mir Tafseer Nayeem,University of Alberta
Qi Xuan,Zhejiang University of Technology
Vasilis  Efthymiou,Foundation for Research and Technology-Hellas
Kirstin  Early,Yahoo Research Labs
Ge  Fan,Tencent
Amit Kumar Jaiswal,University of Surrey
Yupeng Hou,"University of California, San Diego"
Yanqiao  Zhu,"University of California, Los Angeles"
Shuang  Wang,University of Warwick
Xuanyu  Zhang,
Ritchie  Ng,National University of Singapore
Shweta Ann Jacob,Ontario Tech University
Shengbo  Gong,Zhejiang University of Technology
Minming Li,The Hong Kong Polytechnic University
Zhao  Han,"University of South Florida, Tampa"
Brian Plancher,Barnard College
A. Hotho,Julius-Maximilian University of Würzburg
Jen-Wei Huang,National Cheng Kung University
Jan  Pfister,Julius-Maximilian University of Würzburg
Chi  Xie,Tongji University
K. Palaniappan,University of Missouri
Raul Ceretta Nunes,Federal University of Santa Maria
James  Philips,East Carolina University
Randall A. Berry,Northwestern University
Kyle Jamieson,Princeton University
Torsten Braun,University of Bern
Keshab K. Parhi,University of Minnesota Twin Cities
Osman Hasan,Concordia University
Sampath Jayarathna,Old Dominion University
Marco  Cominelli,University of Brescia
James A Hale,University of Southern California
Lamya  Alowain,King Abdulaziz City for Science and Technology
Ray  Donner,University of Nebraska Omaha
Alberto Trombetta,University of Insubria
Mohamed Riduan Abid,National School of Engineers of Sfax
Peter W. Foltz,University of Colorado Boulder
Adrian  Holzer,University of Neuchâtel
Stefano Zanero,Politecnico di Milano
Jeffrey B. Bush,University of Colorado Boulder
Aditya Kumar Purohit,Radboud University
Michele  Carminati,Politecnico di Milano
Malcolm Low,Singapore Institute of Technology
Mikhail  Belyaev,JetBrains s.r.o.
Frank  Emmert-Streib,Tampere University
Andrew P. McPherson,Imperial College London
Domenic J Forte,University of Florida
Kristina Yordanova,University of Greifswald
Ramon L. Rodriguez,"National University, Philippines"
Sunil K Singh,Chandigarh College Of Engineering & Technology
L. F. Lamel,Paris-Saclay University
Daniele Riboni,University of Cagliari
Jeffrey F. Cohn,University of Pittsburgh
Guo-Jun QI,Westlake University
Edgar Roman-Rangel,Autonomous Technological Institute of Mexico
Bo Kang,Ghent University
Sarah  Gillet,KTH Royal Institute of Technology
Suresh  Kumar,Netaji Subhas Institute of Technology
Sanjay Kumar Anand,Netaji Subhas Institute of Technology
Théo  Deschamps-Berger,Paris-Saclay University
Kazuya Murao,Ritsumeikan University
Nirupam  Roy,"University of Maryland, College Park"
Paula Lago,Concordia University
Zikang  Leng,Georgia Institute of Technology
C. -F. Chiasserini,Polytechnic of Turin
Jean C. R. Hauck,Federal University of Santa Catarina
Catia  Prandi,University of Bologna
Adan Jose-Garcia,University of Lille
Santosh Singh Rathore,ABV-Indian Institute of Information Technology and Management
Julie Jacques,CNRS National Centre for Scientific Research
Giovanni  Delnevo,"University of Bologna, Cesena"
Minxue  Pan,Nanjing University
Bin Cao,Zhejiang University of Technology
Sheikh Muhammad Sarwar,"Amazon.com, Inc."
Charith  Perera,Cardiff University
Dulani A Meedeniya,University of Moratuwa
Benyou Wang,Chinese University of Hong Kong
Natalia Khuri,Wake Forest University
Konghao Zhao,Wake Forest University
Tong Steven Sun,George Mason University
Tony  Lindgren,Stockholm University
Joshua R Smith,University of Washington
Nicola  Saccomanno,University of Udine
Jagdeep  Singh,Toshiba Europe
Albert Y H Zomaya,The University of Sydney
Rozenn  Dahyot,Maynooth University
Yi Zeng,Chinese Academy of Sciences
Jian Liang,Chinese Academy of Sciences
Hao  Cai,National Asic Engineering Center
Andrea  Turrini,Institute of Software Chinese Academy of Sciences
Pei-Feng Li,Soochow University
Junhee  Lee,Erasmus University Rotterdam
A. Choudhary,Northwestern University
Potukuchi Raghu Vamsi,Jaypee Institute of Information Technology
Christos A. Fidas,University of Patras
Wei WEI,Huazhong University of Science and Technology
Yuhui Deng,Jinan University
Mayank Goel,Carnegie Mellon University
Laura E. Barnes,University of Virginia
